EventTime,UserID,EventName,EventSource,AWSRegion,Region,SourceIPAddress,MFA_Used,Resource,EventDetail,ComplianceLabel,RawLog
2026-03-26T18:59:52.724551+00:00,user-036,ConsoleLogin,signin.amazonaws.com,us-west-2,us-west-2,172.16.52.174,True,IAM User,User logged in with MFA,Compliant,2026-03-26T18:59:52.724551+00:00 signin.amazonaws.com ConsoleLogin by user-036 in us-west-2; MFA=True; User logged in with MFA
2026-03-24T11:14:25.724551+00:00,user-012,CreateAccessKey,iam.amazonaws.com,ap-south-1,ap-south-1,10.0.47.56,False,IAM User,Long-lived IAM access key created without approval,Non-Compliant,2026-03-24T11:14:25.724551+00:00 iam.amazonaws.com CreateAccessKey by user-012 in ap-south-1; MFA=False; Long-lived IAM access key created without approval
2026-03-30T16:42:31.724551+00:00,user-072,ConsoleLogin,signin.amazonaws.com,us-west-2,us-west-2,54.240.112.115,True,IAM User,User logged in with MFA,Compliant,2026-03-30T16:42:31.724551+00:00 signin.amazonaws.com ConsoleLogin by user-072 in us-west-2; MFA=True; User logged in with MFA
2026-03-28T05:05:17.724551+00:00,user-021,ConsoleLogin,signin.amazonaws.com,ap-south-1,ap-south-1,192.168.79.56,True,IAM User,User logged in with MFA,Compliant,2026-03-28T05:05:17.724551+00:00 signin.amazonaws.com ConsoleLogin by user-021 in ap-south-1; MFA=True; User logged in with MFA
2026-03-28T16:38:41.724551+00:00,user-014,PutBucketAcl,s3.amazonaws.com,us-east-1,us-east-1,10.0.183.217,False,S3 Bucket,Bucket ACL set to public-read,Non-Compliant,2026-03-28T16:38:41.724551+00:00 s3.amazonaws.com PutBucketAcl by user-014 in us-east-1; MFA=False; Bucket ACL set to public-read
2026-03-30T14:10:14.724551+00:00,user-006,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,ap-south-1,ap-south-1,10.0.193.21,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-03-30T14:10:14.724551+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-006 in ap-south-1; MFA=True; Security group updated with restricted source CIDR
2026-03-24T22:14:32.724551+00:00,user-074,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,us-west-2,us-west-2,10.0.116.198,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-03-24T22:14:32.724551+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-074 in us-west-2; MFA=True; Security group updated with restricted source CIDR
2026-03-28T16:42:10.724551+00:00,user-030,ConsoleLogin,signin.amazonaws.com,us-east-1,us-east-1,192.168.232.163,True,IAM User,User logged in with MFA,Compliant,2026-03-28T16:42:10.724551+00:00 signin.amazonaws.com ConsoleLogin by user-030 in us-east-1; MFA=True; User logged in with MFA
2026-03-26T15:00:23.724551+00:00,root,ConsoleLogin,signin.amazonaws.com,eu-west-1,eu-west-1,192.168.36.156,False,Root Account,Root login without MFA,Non-Compliant,2026-03-26T15:00:23.724551+00:00 signin.amazonaws.com ConsoleLogin by root in eu-west-1; MFA=False; Root login without MFA
2026-03-28T16:30:26.724551+00:00,user-021,PutBucketPublicAccessBlock,s3.amazonaws.com,ap-south-1,ap-south-1,192.168.112.176,True,S3 Bucket,S3 public access block enabled,Compliant,2026-03-28T16:30:26.724551+00:00 s3.amazonaws.com PutBucketPublicAccessBlock by user-021 in ap-south-1; MFA=True; S3 public access block enabled
2026-03-27T21:51:55.724551+00:00,user-030,ConsoleLogin,signin.amazonaws.com,us-east-1,us-east-1,54.240.137.17,True,IAM User,User logged in with MFA,Compliant,2026-03-27T21:51:55.724551+00:00 signin.amazonaws.com ConsoleLogin by user-030 in us-east-1; MFA=True; User logged in with MFA
2026-03-28T21:13:09.724551+00:00,user-028,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,ap-south-1,ap-south-1,54.240.73.68,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-03-28T21:13:09.724551+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-028 in ap-south-1; MFA=True; Security group updated with restricted source CIDR
2026-03-28T22:19:00.724551+00:00,root,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,ap-south-1,ap-south-1,192.168.112.36,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-03-28T22:19:00.724551+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by root in ap-south-1; MFA=True; Security group updated with restricted source CIDR
2026-03-25T22:30:04.724551+00:00,user-007,ConsoleLogin,signin.amazonaws.com,us-east-1,us-east-1,172.16.216.153,True,IAM User,User logged in with MFA,Compliant,2026-03-25T22:30:04.724551+00:00 signin.amazonaws.com ConsoleLogin by user-007 in us-east-1; MFA=True; User logged in with MFA
2026-03-30T19:07:18.724551+00:00,user-060,DisableKey,kms.amazonaws.com,eu-west-1,eu-west-1,10.0.58.175,True,KMS Key,Unused KMS key disabled per key lifecycle policy,Compliant,2026-03-30T19:07:18.724551+00:00 kms.amazonaws.com DisableKey by user-060 in eu-west-1; MFA=True; Unused KMS key disabled per key lifecycle policy
2026-03-27T15:28:16.724551+00:00,user-044,PutBucketAcl,s3.amazonaws.com,us-east-1,us-east-1,54.240.80.117,False,S3 Bucket,Bucket ACL set to public-read,Non-Compliant,2026-03-27T15:28:16.724551+00:00 s3.amazonaws.com PutBucketAcl by user-044 in us-east-1; MFA=False; Bucket ACL set to public-read
2026-03-30T05:51:21.724551+00:00,user-065,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,us-west-2,us-west-2,10.0.152.216,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-03-30T05:51:21.724551+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-065 in us-west-2; MFA=True; Security group updated with restricted source CIDR
2026-03-26T01:02:15.724551+00:00,user-020,PutBucketPublicAccessBlock,s3.amazonaws.com,eu-west-1,eu-west-1,3.91.0.154,True,S3 Bucket,S3 public access block enabled,Compliant,2026-03-26T01:02:15.724551+00:00 s3.amazonaws.com PutBucketPublicAccessBlock by user-020 in eu-west-1; MFA=True; S3 public access block enabled
2026-03-27T19:33:10.724551+00:00,user-015,ConsoleLogin,signin.amazonaws.com,eu-west-1,eu-west-1,172.16.29.62,True,IAM User,User logged in with MFA,Compliant,2026-03-27T19:33:10.724551+00:00 signin.amazonaws.com ConsoleLogin by user-015 in eu-west-1; MFA=True; User logged in with MFA
2026-03-24T22:08:33.724551+00:00,user-011,CreateBucket,s3.amazonaws.com,ap-south-1,ap-south-1,3.91.64.33,False,S3 Bucket,Public S3 bucket created,Non-Compliant,2026-03-24T22:08:33.724551+00:00 s3.amazonaws.com CreateBucket by user-011 in ap-south-1; MFA=False; Public S3 bucket created
2026-03-26T15:40:25.724551+00:00,user-034,PutBucketPublicAccessBlock,s3.amazonaws.com,ap-south-1,ap-south-1,3.91.102.183,True,S3 Bucket,S3 public access block enabled,Compliant,2026-03-26T15:40:25.724551+00:00 s3.amazonaws.com PutBucketPublicAccessBlock by user-034 in ap-south-1; MFA=True; S3 public access block enabled
2026-03-25T13:13:41.724551+00:00,user-057,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,ap-south-1,ap-south-1,172.16.115.17,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-03-25T13:13:41.724551+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-057 in ap-south-1; MFA=True; Security group updated with restricted source CIDR
2026-03-24T22:39:40.724551+00:00,user-029,PutBucketPublicAccessBlock,s3.amazonaws.com,us-east-1,us-east-1,10.0.117.18,True,S3 Bucket,S3 public access block enabled,Compliant,2026-03-24T22:39:40.724551+00:00 s3.amazonaws.com PutBucketPublicAccessBlock by user-029 in us-east-1; MFA=True; S3 public access block enabled
2026-03-27T11:05:43.724551+00:00,user-010,PutBucketAcl,s3.amazonaws.com,us-west-2,us-west-2,54.240.109.139,False,S3 Bucket,Bucket ACL set to public-read,Non-Compliant,2026-03-27T11:05:43.724551+00:00 s3.amazonaws.com PutBucketAcl by user-010 in us-west-2; MFA=False; Bucket ACL set to public-read
2026-03-29T00:32:52.724551+00:00,user-032,DisableKey,kms.amazonaws.com,ap-south-1,ap-south-1,172.16.48.25,True,KMS Key,Unused KMS key disabled per key lifecycle policy,Compliant,2026-03-29T00:32:52.724551+00:00 kms.amazonaws.com DisableKey by user-032 in ap-south-1; MFA=True; Unused KMS key disabled per key lifecycle policy
2026-03-29T18:00:49.724551+00:00,user-055,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,ap-south-1,ap-south-1,10.0.50.16,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-03-29T18:00:49.724551+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-055 in ap-south-1; MFA=True; Security group updated with restricted source CIDR
2026-03-26T09:47:15.724551+00:00,user-014,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,us-west-2,us-west-2,172.16.229.36,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-03-26T09:47:15.724551+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-014 in us-west-2; MFA=True; Security group updated with restricted source CIDR
2026-03-24T23:56:25.724551+00:00,user-060,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,us-west-2,us-west-2,54.240.50.13,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-03-24T23:56:25.724551+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-060 in us-west-2; MFA=True; Security group updated with restricted source CIDR
2026-03-26T02:25:28.724551+00:00,user-012,ConsoleLogin,signin.amazonaws.com,us-west-2,us-west-2,54.240.248.124,True,IAM User,User logged in with MFA,Compliant,2026-03-26T02:25:28.724551+00:00 signin.amazonaws.com ConsoleLogin by user-012 in us-west-2; MFA=True; User logged in with MFA
