EventTime,UserID,EventName,EventSource,AWSRegion,Region,SourceIPAddress,MFA_Used,Resource,EventDetail,ComplianceLabel,RawLog
2026-03-29T10:38:03.138790+00:00,user-036,ConsoleLogin,signin.amazonaws.com,us-west-2,us-west-2,172.16.52.174,True,IAM User,User logged in with MFA,Compliant,2026-03-29T10:38:03.138790+00:00 signin.amazonaws.com ConsoleLogin by user-036 in us-west-2; MFA=True; User logged in with MFA
2026-03-27T02:52:36.138790+00:00,user-012,CreateAccessKey,iam.amazonaws.com,ap-south-1,ap-south-1,10.0.47.56,False,IAM User,Long-lived IAM access key created without approval,Non-Compliant,2026-03-27T02:52:36.138790+00:00 iam.amazonaws.com CreateAccessKey by user-012 in ap-south-1; MFA=False; Long-lived IAM access key created without approval
2026-04-02T08:20:42.138790+00:00,user-072,ConsoleLogin,signin.amazonaws.com,us-west-2,us-west-2,54.240.112.115,True,IAM User,User logged in with MFA,Compliant,2026-04-02T08:20:42.138790+00:00 signin.amazonaws.com ConsoleLogin by user-072 in us-west-2; MFA=True; User logged in with MFA
2026-03-30T20:43:28.138790+00:00,user-021,ConsoleLogin,signin.amazonaws.com,ap-south-1,ap-south-1,192.168.79.56,True,IAM User,User logged in with MFA,Compliant,2026-03-30T20:43:28.138790+00:00 signin.amazonaws.com ConsoleLogin by user-021 in ap-south-1; MFA=True; User logged in with MFA
2026-03-31T08:16:52.138790+00:00,user-014,PutBucketAcl,s3.amazonaws.com,us-east-1,us-east-1,10.0.183.217,False,S3 Bucket,Bucket ACL set to public-read,Non-Compliant,2026-03-31T08:16:52.138790+00:00 s3.amazonaws.com PutBucketAcl by user-014 in us-east-1; MFA=False; Bucket ACL set to public-read
2026-04-02T05:48:25.138790+00:00,user-006,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,ap-south-1,ap-south-1,10.0.193.21,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-04-02T05:48:25.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-006 in ap-south-1; MFA=True; Security group updated with restricted source CIDR
2026-03-27T13:52:43.138790+00:00,user-074,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,us-west-2,us-west-2,10.0.116.198,True,Security Group,Security group updated with restricted source CIDR,Compliant,2026-03-27T13:52:43.138790+00:00 ec2.amazonaws.com AuthorizeSecurityGroupIngress by user-074 in us-west-2; MFA=True; Security group updated with restricted source CIDR
2026-03-31T08:20:21.138790+00:00,user-030,ConsoleLogin,signin.amazonaws.com,us-east-1,us-east-1,192.168.232.163,True,IAM User,User logged in with MFA,Compliant,2026-03-31T08:20:21.138790+00:00 signin.amazonaws.com ConsoleLogin by user-030 in us-east-1; MFA=True; User logged in with MFA
2026-03-29T06:38:34.138790+00:00,root,ConsoleLogin,signin.amazonaws.com,eu-west-1,eu-west-1,192.168.36.156,False,Root Account,Root login without MFA,Non-Compliant,2026-03-29T06:38:34.138790+00:00 signin.amazonaws.com ConsoleLogin by root in eu-west-1; MFA=False; Root login without MFA
2026-03-31T08:08:37.138790+00:00,user-021,PutBucketPublicAccessBlock,s3.amazonaws.com,ap-south-1,ap-south-1,192.168.112.176,True,S3 Bucket,S3 public access block enabled,Compliant,2026-03-31T08:08:37.138790+00:00 s3.amazonaws.com PutBucketPublicAccessBlock by user-021 in ap-south-1; MFA=True; S3 public access block enabled
2026-03-30T13:30:06.138790+00:00,user-030,ConsoleLogin,signin.amazonaws.com,us-east-1,us-east-1,54.240.137.17,True,IAM User,User logged in with MFA,Compliant,2026-03-30T13:30:06.138790+00:00 signin.amazonaws.com ConsoleLogin by user-030 in us-east-1; MFA=True; User logged in with MFA
